@W: CG289 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\ram_module_top.v":70:33:70:38|Specified digits overflow the number's size
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 4 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 5 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 6 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 7 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 8 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 9 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 10 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 11 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 12 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 13 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 14 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 15 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 16 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 17 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 18 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 19 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 20 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 21 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 22 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 23 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 24 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 25 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 26 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 27 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 28 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 29 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 30 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 31 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 32 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 33 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 34 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 35 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 36 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 37 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 38 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 39 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 40 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 41 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 42 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 43 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 44 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 45 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 46 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 47 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 48 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 49 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 50 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 51 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 52 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 53 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 54 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 55 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 56 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 57 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 58 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 59 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 60 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 61 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 62 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 63 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 64 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 65 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 66 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 67 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 68 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 69 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 70 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 71 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 72 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 73 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 74 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 75 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 76 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 77 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 78 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 79 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 80 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 81 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 82 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 83 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 84 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 85 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 86 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 87 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 88 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 89 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 90 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 91 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 92 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 93 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 94 of elec_config_aux[128:0] assign 0, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 95 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 96 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 97 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 98 of elec_config_aux[128:0] assign 1, register removed by optimization.
@W: CL208 :"C:\Users\raul.lora\Documents\proyectoTestRaul\medusaTesting\medusaTesting\FPGA1\src\cemf_module_64ch_fsm_average.v":276:3:276:6|All reachable assignments to bit 99 of elec_config_aux[128:0] assign 0, register removed by optimization.
